ac_no,ac_name,candidate,party,total_votes,source
24,Kurseong,Bhupendra Lepcha,OTHER,960.0,ECI
25,Matigara-Naxalbari,Anandamay Barman,BJP,139785.0,ECI
25,Matigara-Naxalbari,Rajen Sundas,TMC,68937.0,ECI
25,Matigara-Naxalbari,Sankar Malakar,INC,23060.0,ECI
25,Matigara-Naxalbari,NOTA,OTHER,3912.0,ECI
25,Matigara-Naxalbari,Rakesh Mondal,OTHER,2046.0,ECI
25,Matigara-Naxalbari,Sudip Mandal,OTHER,1577.0,ECI
25,Matigara-Naxalbari,Harish Chandra Barman,OTHER,1274.0,ECI
26,Siliguri,Sankar Ghosh,BJP,89370.0,ECI
26,Siliguri,Dr. Omprakash Mishra,TMC,53784.0,ECI
26,Siliguri,Asok Bhattacharya,CPM,28835.0,ECI
26,Siliguri,NOTA,OTHER,2074.0,ECI
26,Siliguri,Kakali Majumdar (Roy),OTHER,1255.0,ECI
26,Siliguri,Habul Ghosh,OTHER,957.0,ECI
26,Siliguri,Nintu Dutta,OTHER,649.0,ECI
26,Siliguri,Chayan Guha,OTHER,594.0,ECI
26,Siliguri,Bhushan Kumar Soni,OTHER,447.0,ECI
26,Siliguri,Dipti Roy,OTHER,379.0,ECI
26,Siliguri,Chhotan Saha,OTHER,306.0,ECI
27,Phansidewa,Durga Murmu,BJP,105651.0,ECI
27,Phansidewa,Chhotan Kisku,TMC,77940.0,ECI
27,Phansidewa,Sunil Chandra Tirkey,INC,12815.0,ECI
27,Phansidewa,Sumanti Ekka,OTHER,2787.0,ECI
27,Phansidewa,NOTA,OTHER,2575.0,ECI
27,Phansidewa,Karuna Ranjan Soren,OTHER,2291.0,ECI
27,Phansidewa,Bhola Tirki,OTHER,1832.0,ECI
27,Phansidewa,Amit Lakra,OTHER,1699.0,ECI
28,Chopra,HAMIDUL RAHAMAN,TMC,124923.0,ECI
28,Chopra,MD. SHAHIN AKHTER,BJP,60018.0,ECI
28,Chopra,ANWARUL HAQUE,CPM,12279.0,ECI
28,Chopra,AJOY KUMAR SINHA,OTHER,3166.0,ECI
28,Chopra,SUROJIT KISKU,OTHER,2193.0,ECI
28,Chopra,NOTA,OTHER,1531.0,ECI
29,Islampur,ABDUL KARIM CHOWDHARY,TMC,100131.0,ECI
29,Islampur,SAUMYAROOP MANDAL,BJP,62691.0,ECI
29,Islampur,SADIQUL ISLAM,INC,3461.0,ECI
29,Islampur,NOTA,OTHER,1976.0,ECI
29,Islampur,BIRENDRA NATH SINHA,OTHER,1152.0,ECI
29,Islampur,MD. NAIYAR ALAM,OTHER,563.0,ECI
30,Goalpokhar,MD. GHULAM RABBANI,TMC,105649.0,ECI
30,Goalpokhar,MD. GHULAM SARWAR,BJP,32135.0,ECI
30,Goalpokhar,MASOOD MD. NASEEM AHSEN,INC,19391.0,ECI
30,Goalpokhar,NOTA,OTHER,2016.0,ECI
30,Goalpokhar,SUNIL BISWAS,OTHER,865.0,ECI
30,Goalpokhar,SHAMBHU LAL ROY,OTHER,694.0,ECI
30,Goalpokhar,RAGHU NATH SINGHA,OTHER,405.0,ECI
30,Goalpokhar,NABIN CHANDRA SINGHA,OTHER,380.0,ECI
31,Chakulia,AZAD MINHAJUL ARFIN,TMC,86311.0,ECI
31,Chakulia,SACHIN PRASAD,BJP,52474.0,ECI
31,Chakulia,ALI IMRAN RAMZ,OTHER,28704.0,ECI
31,Chakulia,GOUTAM PAUL,OTHER,2725.0,ECI
31,Chakulia,NOTA,OTHER,1186.0,ECI
31,Chakulia,MAZHAR IMAM,OTHER,1046.0,ECI
31,Chakulia,KAMKSHYA SARKAR,OTHER,954.0,ECI
32,Karandighi,GOUTAM PAUL,TMC,116594.0,ECI
32,Karandighi,SUBHAS CHANDRA SINHA S/O: HARANARAYAN SINHA,BJP,79968.0,ECI
32,Karandighi,MD. HAFIZUL IQBAL,OTHER,9146.0,ECI
32,Karandighi,NOTA,OTHER,2449.0,ECI
32,Karandighi,BENOY KUMAR DAS,OTHER,1269.0,ECI
32,Karandighi,HARUN RASHID,OTHER,1139.0,ECI
32,Karandighi,SUBHASH CHANDRA SINHA S/O: BUYASU LAL SINGHA,OTHER,693.0,ECI
32,Karandighi,ABDULLAH,OTHER,632.0,ECI
32,Karandighi,DINESH CHANDRA SINGHA,OTHER,537.0,ECI
