ac_no,has_pdf,has_ocr_markdown,native_rows,native_booths,ocr_rows,ocr_booths,combined_rows,combined_booths,candidate_count,total_candidate_votes_sum,total_electors_ac_level,ac_name,status
226,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
227,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
228,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
229,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
230,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
231,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
232,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
233,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
234,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
235,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
236,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
237,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
238,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
239,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
240,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
241,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
242,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
243,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
244,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
245,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
246,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
247,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
248,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
249,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
250,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
251,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
252,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
253,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
254,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
255,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
256,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
257,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
258,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
259,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
260,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
261,True,False,1440,360,0,0,1440,360,60,222889,258556.0,Raina (SC),parsed
262,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
263,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
264,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
265,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
266,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
267,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
268,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
269,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
270,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
271,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
272,True,False,1404,351,0,0,1404,351,60,105343,251003.0,,parsed
273,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
274,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
275,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
276,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
277,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
278,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
279,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
280,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
281,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
282,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
283,True,False,1493,249,0,0,1493,249,83,216841,,,parsed
284,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
285,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
286,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
287,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
288,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
289,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
290,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
291,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
292,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
293,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
294,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
