ac_no,ac_name,iterations,mean_bjp_votes,mean_tmc_votes,bjp_win_probability,tmc_win_probability,expected_margin,turnout_change,sir_deletion_factor,tmc_to_bjp_swing,noise_sd,ac_noise_sd,scenario_id,scenario,predicted_winner,winner_probability,confidence_pct,margin_probability_gap,confidence_bucket
40,Tapan (ST),20000,52004.01927655106,47149.55602465392,0.7292,0.2708,4854.463251897138,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate +2pp,BJP,0.7292,72.92,0.4584,lean
41,Gangarampur (SC),20000,50492.490303193415,44216.063589021694,0.7943,0.2057,6276.426714171719,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate +2pp,BJP,0.7943,79.43,0.5886,likely
42,Harirampur,20000,70693.04314987616,85411.323105268,0.11945,0.88055,-14718.279955391836,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate +2pp,TMC,0.88055,88.06,0.7611000000000001,likely
43,Habibpur (ST),20000,111526.87799064434,81354.55058078363,0.97435,0.02565,30172.327409860707,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate +2pp,BJP,0.97435,97.44,0.9487000000000001,high_confidence
44,Gazole (SC),20000,90596.56572111536,48981.43427888476,1.0,0.0,41615.13144223061,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate +2pp,BJP,1.0,100.0,1.0,high_confidence
45,Chanchal,20000,43616.95109317084,94671.74573940874,0.0,1.0,-51054.794646237904,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate +2pp,TMC,1.0,100.0,1.0,high_confidence
46,Harishchandrapur,20000,10819.726626711828,26685.67515900244,0.0,1.0,-15865.948532290611,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate +2pp,TMC,1.0,100.0,1.0,high_confidence
47,Malatipur,20000,20204.00470129843,90291.99529870167,0.0,1.0,-70087.99059740324,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate +2pp,TMC,1.0,100.0,1.0,high_confidence
48,Ratua,20000,144389.31239092228,67886.68760907774,1.0,0.0,76502.62478184454,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate +2pp,BJP,1.0,100.0,1.0,high_confidence
49,Manikchak,20000,161387.8579140598,17776.142085939435,1.0,0.0,143611.7158281204,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate +2pp,BJP,1.0,100.0,1.0,high_confidence
50,Maldaha,20000,20722.005488611878,15888.994511388066,0.9515,0.0485,4833.010977223808,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate +2pp,BJP,0.9515,95.15,0.903,high_confidence
51,English Bazar,20000,153181.61708432576,114704.06499659856,0.95935,0.04065,38477.55208772719,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate +2pp,BJP,0.95935,95.94,0.9187000000000001,high_confidence
52,Mothabari,20000,37822.37768168952,82109.62231831047,0.0,1.0,-44287.24463662096,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate +2pp,TMC,1.0,100.0,1.0,high_confidence
53,Sujapur,20000,24551.93079208005,125569.06920792029,0.0,1.0,-101017.13841584022,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate +2pp,TMC,1.0,100.0,1.0,high_confidence
54,Baisnabnagar,20000,40929.66884177716,88664.3311582235,0.0,1.0,-47734.66231644634,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate +2pp,TMC,1.0,100.0,1.0,high_confidence
1,Mekliganj (SC),20000,33662.18563303327,33628.81436696673,0.50695,0.49305,33.371266066539285,0.0,0.0,0.04,0.015,0.04,bjp_surge,BJP surge +4pp,BJP,0.50695,50.7,0.013900000000000023,competitive
2,Mathabhanga (SC),20000,77371.04086306904,50463.9334359968,0.9946,0.0054,26907.10742707224,0.0,0.0,0.04,0.015,0.04,bjp_surge,BJP surge +4pp,BJP,0.9946,99.46,0.9892000000000001,high_confidence
3,Cooch Behar Uttar (SC),20000,46156.41559293708,34483.99536596702,0.9639,0.0361,11672.420226970058,0.0,0.0,0.04,0.015,0.04,bjp_surge,BJP surge +4pp,BJP,0.9639,96.39,0.9278,high_confidence
4,Cooch Behar Dakshin,20000,67050.26429913274,53937.945124951446,0.909,0.091,13112.319174181295,0.0,0.0,0.04,0.015,0.04,bjp_surge,BJP surge +4pp,BJP,0.909,90.9,0.8180000000000001,high_confidence
5,Sitalkuchi (SC),20000,16746.434913965964,10653.565086034014,0.9974,0.0026,6092.869827931951,0.0,0.0,0.04,0.015,0.04,bjp_surge,BJP surge +4pp,BJP,0.9974,99.74,0.9947999999999999,high_confidence
6,Sitai (SC),20000,48321.21082599494,45105.245695744205,0.6664,0.3336,3215.965130250734,0.0,0.0,0.04,0.015,0.04,bjp_surge,BJP surge +4pp,BJP,0.6664,66.64,0.3328,lean
7,Dinhata,20000,69166.61990978708,59235.3800902131,0.8342,0.1658,9931.239819573986,0.0,0.0,0.04,0.015,0.04,bjp_surge,BJP surge +4pp,BJP,0.8342,83.42,0.6684000000000001,likely
8,Natabari,20000,88084.07093882051,59089.42455667506,0.99285,0.00715,28994.646382145453,0.0,0.0,0.04,0.015,0.04,bjp_surge,BJP surge +4pp,BJP,0.99285,99.28,0.9857,high_confidence
9,Tufanganj,20000,97042.46972928074,59687.22886884948,0.9985,0.0015,37355.24086043125,0.0,0.0,0.04,0.015,0.04,bjp_surge,BJP surge +4pp,BJP,0.9985,99.85,0.9970000000000001,high_confidence
10,Kumargram (ST),20000,93973.74896723629,72045.8682894007,0.948,0.052,21927.88067783556,0.0,0.0,0.04,0.015,0.04,bjp_surge,BJP surge +4pp,BJP,0.948,94.8,0.8959999999999999,high_confidence
11,Kalchini (ST),20000,27898.734106735395,17072.39334424503,0.9987,0.0013,10826.340762490368,0.0,0.0,0.04,0.015,0.04,bjp_surge,BJP surge +4pp,BJP,0.9987,99.87,0.9974000000000001,high_confidence
12,Alipurduars,20000,68323.79350353849,49418.85493396141,0.9779,0.0221,18904.93856957708,0.0,0.0,0.04,0.015,0.04,bjp_surge,BJP surge +4pp,BJP,0.9779,97.79,0.9558,high_confidence
13,Falakata,20000,111630.68206250967,91353.3179374904,0.89365,0.10635,20277.36412501928,0.0,0.0,0.04,0.015,0.04,bjp_surge,BJP surge +4pp,BJP,0.89365,89.36,0.7873000000000001,likely
14,Madarihat,20000,60686.84618055901,34471.15381944034,0.9999,0.0001,26215.69236111868,0.0,0.0,0.04,0.015,0.04,bjp_surge,BJP surge +4pp,BJP,0.9999,99.99,0.9998,high_confidence
15,Dhupguri (SC),20000,88665.14613981264,72440.239998801,0.8951,0.1049,16224.906141011645,0.0,0.0,0.04,0.015,0.04,bjp_surge,BJP surge +4pp,BJP,0.8951,89.51,0.7902,likely
16,Maynaguri (SC),20000,85046.98895656824,64800.936890888894,0.9534,0.0466,20246.05206567935,0.0,0.0,0.04,0.015,0.04,bjp_surge,BJP surge +4pp,BJP,0.9534,95.34,0.9068,high_confidence
17,Jalpaiguri (SC),20000,59303.69646726832,50916.85040773143,0.82705,0.17295,8386.846059536898,0.0,0.0,0.04,0.015,0.04,bjp_surge,BJP surge +4pp,BJP,0.82705,82.7,0.6540999999999999,likely
