ac_no,ac_name,iterations,mean_bjp_votes,mean_tmc_votes,bjp_win_probability,tmc_win_probability,expected_margin,turnout_change,sir_deletion_factor,tmc_to_bjp_swing,noise_sd,ac_noise_sd,scenario_id,scenario,predicted_winner,winner_probability,confidence_pct,competitiveness
2,Mathabhanga (SC),20000,87556.03789447309,57106.35229244301,0.99465,0.00535,30449.685602030077,0.0,0.0,0.04,0.015,0.04,bjp_surge,BJP surge (+4pp),BJP,0.99465,99.46,very_strong
3,Cooch Behar Uttar (SC),20000,51894.14748554254,38770.20867884062,0.96405,0.03595,13123.938806701915,0.0,0.0,0.04,0.015,0.04,bjp_surge,BJP surge (+4pp),BJP,0.96405,96.4,very_strong
4,Cooch Behar Dakshin,20000,70889.72724215889,57026.41411909822,0.909,0.091,13863.313123060669,0.0,0.0,0.04,0.015,0.04,bjp_surge,BJP surge (+4pp),BJP,0.909,90.9,strong
5,Sitalkuchi (SC),20000,18135.63366045865,11363.366339541391,0.998,0.002,6772.267320917259,0.0,0.0,0.04,0.015,0.04,bjp_surge,BJP surge (+4pp),BJP,0.998,99.8,very_strong
6,Sitai (SC),20000,59838.77368192098,55857.05240503523,0.66605,0.33395,3981.721276885748,0.0,0.0,0.04,0.015,0.04,bjp_surge,BJP surge (+4pp),BJP,0.66605,66.6,likely
7,Dinhata,20000,72080.56884745554,62202.43115254437,0.82155,0.17845,9878.137694911173,0.0,0.0,0.04,0.015,0.04,bjp_surge,BJP surge (+4pp),BJP,0.82155,82.16,strong
8,Natabari,20000,93787.5378047636,62915.20543848023,0.99295,0.00705,30872.33236628336,0.0,0.0,0.04,0.015,0.04,bjp_surge,BJP surge (+4pp),BJP,0.99295,99.3,very_strong
9,Tufanganj,20000,98415.88129455976,60532.28926618804,0.9985,0.0015,37883.59202837171,0.0,0.0,0.04,0.015,0.04,bjp_surge,BJP surge (+4pp),BJP,0.9985,99.85,very_strong
10,Kumargram (ST),20000,94752.58477720886,72643.10106349942,0.94795,0.05205,22109.48371370944,0.0,0.0,0.04,0.015,0.04,bjp_surge,BJP surge (+4pp),BJP,0.94795,94.8,strong
11,Kalchini (ST),20000,34461.07128868324,21088.11498582641,0.9987,0.0013,13372.95630285683,0.0,0.0,0.04,0.015,0.04,bjp_surge,BJP surge (+4pp),BJP,0.9987,99.87,very_strong
12,Alipurduars,20000,75194.38164291324,54388.09491958675,0.978,0.022,20806.28672332649,0.0,0.0,0.04,0.015,0.04,bjp_surge,BJP surge (+4pp),BJP,0.978,97.8,very_strong
13,Falakata,20000,128287.29268553149,104984.70731446888,0.8934,0.1066,23302.5853710626,0.0,0.0,0.04,0.015,0.04,bjp_surge,BJP surge (+4pp),BJP,0.8934,89.34,strong
14,Madarihat,20000,63222.59563871615,35911.33539576668,0.9999,0.0001,27311.260242949476,0.0,0.0,0.04,0.015,0.04,bjp_surge,BJP surge (+4pp),BJP,0.9999,99.99,very_strong
15,Dhupguri (SC),20000,92711.18175281095,75746.27369273346,0.8951,0.1049,16964.908060077487,0.0,0.0,0.04,0.015,0.04,bjp_surge,BJP surge (+4pp),BJP,0.8951,89.51,strong
16,Maynaguri (SC),20000,98127.62214566444,74768.03251535201,0.9534,0.0466,23359.589630312417,0.0,0.0,0.04,0.015,0.04,bjp_surge,BJP surge (+4pp),BJP,0.9534,95.34,very_strong
17,Jalpaiguri (SC),20000,63508.47623274836,54526.33626725157,0.8274,0.1726,8982.139965496779,0.0,0.0,0.04,0.015,0.04,bjp_surge,BJP surge (+4pp),BJP,0.8274,82.74,strong
18,Rajganj (SC),20000,41815.0451444732,41900.44505160526,0.49575,0.50425,-85.3999071320653,0.0,0.0,0.04,0.015,0.04,bjp_surge,BJP surge (+4pp),TMC,0.50425,50.42,toss_up
19,Dabgram-Phulbari,20000,53387.77357534929,35617.57166274575,0.9943,0.0057,17770.201912603537,0.0,0.0,0.04,0.015,0.04,bjp_surge,BJP surge (+4pp),BJP,0.9943,99.43,very_strong
20,Mal (ST),20000,53695.37731330893,46118.6226866912,0.8989,0.1011,7576.754626617736,0.0,0.0,0.04,0.015,0.04,bjp_surge,BJP surge (+4pp),BJP,0.8989,89.89,strong
21,Nagrakata (ST),20000,38560.90118073323,24542.007910175933,0.9964,0.0036,14018.893270557292,0.0,0.0,0.04,0.015,0.04,bjp_surge,BJP surge (+4pp),BJP,0.9964,99.64,very_strong
22,Kalimpong,20000,47837.2783649312,184.73571956639245,1.0,0.0,47652.54264536481,0.0,0.0,0.04,0.015,0.04,bjp_surge,BJP surge (+4pp),BJP,1.0,100.0,very_strong
23,Darjeeling,20000,195660.18274336835,31481.81725663262,1.0,0.0,164178.3654867357,0.0,0.0,0.04,0.015,0.04,bjp_surge,BJP surge (+4pp),BJP,1.0,100.0,very_strong
24,Kurseong,20000,188603.5271260084,765.3869011593524,1.0,0.0,187838.14022484905,0.0,0.0,0.04,0.015,0.04,bjp_surge,BJP surge (+4pp),BJP,1.0,100.0,very_strong
25,Matigara-Naxalbari (SC),20000,136923.56031759508,55904.42991041779,1.0,0.0,81019.13040717728,0.0,0.0,0.04,0.015,0.04,bjp_surge,BJP surge (+4pp),BJP,1.0,100.0,very_strong
26,Siliguri,20000,16725.367107900078,8459.532892099924,1.0,0.0,8265.834215800154,0.0,0.0,0.04,0.015,0.04,bjp_surge,BJP surge (+4pp),BJP,1.0,100.0,very_strong
